train.ids folds
train.1 2
train.2 4
train.3 3
train.4 5
train.5 5
train.6 1
train.7 3
train.8 5
train.9 3
train.10 3
train.11 5
train.12 3
train.13 4
train.14 3
train.15 1
train.16 5
train.17 2
train.18 1
train.19 2
train.20 5
train.21 5
train.22 4
train.23 4
train.24 5
train.25 4
train.26 4
train.27 3
train.28 3
train.29 2
train.30 1
train.31 5
train.32 5
train.33 4
train.34 4
train.35 1
train.36 3
train.37 4
train.38 2
train.39 2
train.40 2
train.41 1
train.42 3
train.43 3
train.44 2
train.45 1
train.46 1
train.47 2
train.48 3
train.49 2
train.50 5
train.51 1
train.52 3
train.53 4
train.54 1
train.55 3
train.56 2
train.57 1
train.58 4
train.59 5
train.60 2
train.61 4
train.62 1
train.63 2
train.64 2
train.65 4
train.66 3
train.67 4
train.68 4
train.69 4
train.70 3
train.71 4
train.72 4
train.73 4
train.74 1
train.75 3
train.76 5
train.77 2
train.78 3
train.79 2
train.80 1
train.81 2
train.82 4
train.83 3
train.84 4
train.85 1
train.86 3
train.87 5
train.88 5
train.89 5
train.90 1
train.91 1
train.92 4
train.93 2
train.94 4
train.95 2
train.96 1
train.97 4
train.98 1
train.99 3
train.100 3
train.101 3
train.102 2
train.103 3
train.104 5
train.105 3
train.106 5
train.107 5
train.108 3
train.109 2
train.110 1
train.111 5
train.112 2
train.113 1
train.114 5
train.115 4
train.116 1
train.117 3
train.118 5
train.119 3
train.120 2
train.121 4
train.122 2
train.123 2
train.124 2
train.125 2
train.126 5
train.127 5
train.128 1
train.129 1
train.130 4
train.131 3
train.132 5
train.133 4
train.134 4
train.135 3
train.136 4
train.137 4
train.138 4
train.139 5
train.140 3
train.141 2
train.142 2
train.143 1
train.144 1
train.145 4
train.146 2
train.147 2
train.148 1
train.149 2
train.150 4
train.151 4
train.152 3
train.153 2
train.154 5
train.155 1
train.156 2
train.157 3
train.158 5
train.159 3
train.160 2
train.161 5
train.162 2
train.163 4
train.164 2
train.165 2
train.166 3
train.167 4
train.168 2
train.169 2
train.170 2
train.171 3
train.172 1
train.173 4
train.174 4
train.175 4
train.176 3
train.177 2
train.178 3
train.179 5
train.180 3
train.181 5
train.182 2
train.183 5
train.184 2
train.185 3
train.186 3
train.187 5
train.188 3
train.189 5
train.190 5
train.191 2
train.192 2
train.193 5
train.194 3
train.195 5
train.196 3
train.197 2
train.198 3
train.199 1
train.200 3
train.201 2
train.202 5
train.203 3
train.204 3
train.205 2
train.206 4
train.207 2
train.208 2
train.209 1
train.210 1
train.211 3
train.212 5
train.213 1
train.214 5
train.215 1
train.216 4
train.217 2
train.218 2
train.219 4
train.220 5
train.221 2
train.222 5
train.223 4
train.224 4
train.225 1
train.226 2
train.227 3
train.228 3
train.229 4
train.230 5
train.231 3
train.232 5
train.233 3
train.234 1
train.235 2
train.236 5
train.237 1
train.238 4
train.239 1
train.240 4
train.241 5
train.242 3
train.243 1
train.244 3
train.245 2
train.246 5
train.247 2
train.248 5
train.249 5
train.250 4
train.251 2
train.252 1
train.253 3
train.254 2
train.255 3
train.256 4
train.257 1
train.258 2
train.259 3
train.260 4
train.261 5
train.262 4
train.263 3
train.264 5
train.265 3
train.266 3
train.267 2
train.268 2
train.269 1
train.270 3
train.271 4
train.272 1
train.273 1
train.274 1
train.275 4
train.276 4
train.277 5
train.278 3
train.279 1
train.280 3
train.281 4
train.282 1
train.283 2
train.284 1
train.285 1
train.286 2
train.287 1
train.288 5
train.289 5
train.290 3
train.291 2
train.292 1
train.293 1
train.294 4
train.295 4
train.296 4
train.297 5
train.298 5
train.299 1
train.300 4
train.301 4
train.302 1
train.303 4
train.304 4
train.305 3
train.306 3
train.307 1
train.308 1
train.309 2
train.310 3
train.311 2
train.312 2
train.313 4
train.314 1
train.315 2
train.316 5
train.317 4
train.318 2
train.319 2
train.320 4
train.321 4
train.322 2
train.323 5
train.324 5
train.325 1
train.326 1
train.327 5
train.328 1
train.329 5
train.330 4
train.331 3
train.332 5
train.333 5
train.334 4
train.335 2
train.336 3
train.337 3
train.338 3
train.339 3
train.340 5
train.341 2
train.342 1
train.343 3
train.344 1
train.345 3
train.346 2
train.347 5
train.348 2
train.349 1
train.350 5
train.351 1
train.352 5
