"","V1","V2"
"1","NA19152","YRI"
"2","NA19139","YRI"
"3","NA18912","YRI"
"4","NA19160","YRI"
"5","NA07034","CEU"
"6","NA07055","CEU"
"7","NA12814","CEU"
"8","NA10847","CEU"
"9","NA18532","HCB"
"10","NA18561","HCB"
"11","NA18942","JPT"
"12","NA18940","JPT"
"13","NA18515","YRI"
"14","NA19222","YRI"
"15","NA18508","YRI"
"16","NA19129","YRI"
"17","NA12056","CEU"
"18","NA10863","CEU"
"19","NA10857","CEU"
"20","NA12006","CEU"
"21","NA18605","HCB"
"22","NA18542","HCB"
"23","NA18945","JPT"
"24","NA18949","JPT"
"25","NA19238","YRI"
"26","NA19194","YRI"
"27","NA19142","YRI"
"28","NA18913","YRI"
"29","NA12145","CEU"
"30","NA12763","CEU"
"31","NA07357","CEU"
"32","NA12144","CEU"
"33","NA18550","HCB"
"34","NA18608","HCB"
"35","NA18964","JPT"
"36","NA18953","JPT"
"37","NA19154","YRI"
"38","NA19138","YRI"
"39","NA18852","YRI"
"40","NA19120","YRI"
"41","NA07019","CEU"
"42","NA10831","CEU"
"43","NA07000","CEU"
"44","NA11832","CEU"
"45","NA18564","HCB"
"46","NA18961","JPT"
"47","NA18972","JPT"
"48","NA19210","YRI"
"49","NA19204","YRI"
"50","NA18507","YRI"
"51","NA19159","YRI"
"52","NA06991","CEU"
"53","NA11840","CEU"
"54","NA12802","CEU"
"55","NA12813","CEU"
"56","NA18571","HCB"
"57","NA18620","HCB"
"58","NA18967","JPT"
"59","NA18976","JPT"
"60","NA19211","YRI"
"61","NA18516","YRI"
"62","NA18523","YRI"
"63","NA12761","CEU"
"64","NA10830","CEU"
"65","NA10855","CEU"
"66","NA18623","HCB"
"67","NA18576","HCB"
"68","NA18981","JPT"
"69","NA18971","JPT"
"70","NA18862","YRI"
"71","NA19205","YRI"
"72","NA19101","YRI"
"73","NA19102","YRI"
"74","NA06994","CEU"
"75","NA11993","CEU"
"76","NA11995","CEU"
"77","NA12891","CEU"
"78","NA18582","HCB"
"79","NA18633","HCB"
"80","NA18994","JPT"
"81","NA18872","YRI"
"82","NA19192","YRI"
"83","NA19172","YRI"
"84","NA19092","YRI"
"85","NA12864","CEU"
"86","NA12751","CEU"
"87","NA10839","CEU"
"88","NA12717","CEU"
"89","NA18637","HCB"
"90","NA18594","HCB"
"91","NA18998","JPT"
